company,description,industries
"SMITH INTERNATIONAL, INC. (SII)","Acquired by Schlumberger in 2010, Smith International provided products and services used during the drilling, completion and production phases of oil and gas exploration and development.","Acquired.,engineering and construction,energy,equipment"
SIGNET JEWELERS LIMITED (SIG),"Signet is a U.S. and U.K. retailer of diamond jewelry, operating retail stores in shopping malls and off-mall locations, under brand names including Kay Jewelers and Zales Jewelers.",retail
SIGMA-ALDRICH CORPORATION (SIAL),"Acquired by the German drug company Merck KGaA in 2014, Sigma-Aldrich developed, manufactured, and distributed a broad range of chemicals, biochemicals and equipment used in scientific research, pharmaceutical development and other high technology manufacturing.","Acquired.,equipment,health care,materials"
THE SHERWIN-WILLIAMS COMPANY (SHW),"Sherwin-Williams, founded in 1866, develops, manufactures, and sells paint and coatings to industrial, commercial and retail customers primarily in North and South America.","materials,retail"
SEARS HOLDINGS CORPORATION (SHLD),The company operated Kmart and Sears retail stores in the U.S. prior to its bankruptcy and asset sale.,"Bankruptcy.,retail"
SCHERING-PLOUGH CORPORATION (SGP),"Prior to its 2009 merger with Merck, Schering-Plough was a global biopharmaceutical company.","Acquired.,health care,pharmaceuticals"
SEALED AIR CORPORATION (SEE),"Sealed Air provides food packaging products, such as vacuum shrink bags, flexible films, absorbent materials and trays; facility cleaning and hygiene solutions; and protective and specialty packaging such as Bubble Wrap packaging.",manufacturing
SPECTRA ENERGY CORP (SE),"Spectra Energy gathers, processes, transmits over its pipelines, stores, and distributes natural gas in the U.S. and Canada, 
and also owns and operates a crude oil pipeline system.","Acquired.,energy"
THE CHARLES SCHWAB CORPORATION (SCHW),"Charles Schwab is a savings and loan holding company that engages in wealth management, securities brokerage, banking, custody, and financial advisory services.","asset management,banking,financial company,financial services"
SCANA CORPORATION (SCG),"Acquired by Dominion Energy in 2019, SCANA was a holding company whose wholly-owned regulated utility subsidiaries provided electricity and natural gas to retail and wholesale customers in North and South Carolina.","Acquired.,energy,utility"
STARBUCKS CORPORATION (SBUX),"Starbucks is a global coffee roaster, marketer and retailer.",retail
"SYMBOL TECHNOLOGIES, INC. (SBL)","Acquired by Motorola in 2006, Symbol designed and manufactured enterprise mobility solutions such as data capture products, mobile computing platforms and software management tools, wireless infrastructure, and radio frequency identification tags.","Acquired.,hardware"
SBA COMMUNICATIONS CORPORATION (SBAC),"SBA Communications is a REIT that owns, operates, and leases antenna towers and other structures used for wireless communications.","equipment,real estate,REIT,telecommunications"
SAPIENT CORP (SAPE),"Acquired by the Publicis Groupe in 2015, Sapient offered marketing strategy, web design and development, and advertising services.","Acquired.,business services,IT services"
SANMINA CORPORATION (SANM),"Sanmina provides product design, manufacturing, and logistics services to original equipment manufacturers in the communications networks, storage, industrial, defense and aerospace, medical, energy and other industries.","business services,manufacturing"
"THE BOSTON BEER COMPANY, INC. (SAM)","The Boston Beer Company is a U.S. brewer of beers under the Samuel Adams and other brands, and of flavored malt, hard cider and other beverages.",consumer goods
SAFECO CORPORATION (SAF),"Acquired in 2008 by the Liberty Mutual Insurance Company, Safeco Corporation was an insurance holding company that provided property and casualty insurance to individuals and small- to mid-size businesses in the U.S.","Acquired.,financial company,insurance"
SPRINT CORPORATION (S),"Sprint offers wireless and wireline communications products and services to consumer, business, and government subscribers in the U.S.",telecommunications
IMS HEALTH INCORPORATED (RX),"Acquired in 2010, IMS Health was a global provider of market intelligence to the pharmaceutical and healthcare industries.","Acquired.,business services,health care,IT services"
RAYTHEON COMPANY (RTN),"Raytheon is a defense company. Its offerings include air and missile defense systems, radars, and naval electronic systems for the U.S. Department of Defense and other government customers; technical and professional services for the intelligence, defense, and commercial customers; and missile and combat systems for the U.S. and allied armed forces.",equipment
RADIOSHACK CORPORATION (RSH),"Prior to its 2015 bankruptcy, RadioShack was a consumer electronics retailer.","Bankruptcy.,retail"
"REPUBLIC SERVICES, INC. (RSG)","Republic provide non-hazardous solid waste collection, transfer, disposal, and recycling in the U.S.","business services,consumer services"
R.R. DONNELLEY & SONS COMPANY (RRD),"RR Donnelley is an advertising and customer communications company that produces magazines, catalogs, retail inserts, directories, statements, packaging, and direct mail for its clients.",business services
RANGE RESOURCES CORPORATION (RRC),Range Resources is a natural gas and oil company that explores and developes natural gas and oil properties in the Appalachian region of the U.S.,energy
"ROSS STORES, INC. (ROST)",Ross Stores operates retail apparel and home fashion stores for price-conscious shoppers.,retail
"ROPER TECHNOLOGIES, INC. (ROP)","Roper is a diversified technology company that provides diagnostic and laboratory software to healthcare providers, devices for computer-assisted surgery, digital imaging products for scientific and industrial use, radio frequency identification products for toll and traffic systems and access card readers, and fluid handling and materials analysis equipment.","conglomerate,energy,equipment,hardware,health care,medical devices"
"ROCKWELL AUTOMATION, INC. (ROK)","Rockwell Automation provides industrial automation products, such as industrial control panels, machine control systems, sensors and switches.",equipment
ROHM AND HAAS COMPANY (ROH),"Acquired by the Dow Chemical Company in 2008, Rohm and Haas was a specialty materials company manufacturing electronic materials, paint and coatings, and packaging and building materials.","Acquired.,materials"
RESMED INC. (RMD),"ResMed makes medical devices and software applications that diagnose, treat and manage respiratory disorders including sleep disordered breathing, chronic obstructive pulmonary disease, neuromuscular disease and other chronic diseases.",medical devices
RALPH LAUREN CORPORATION (RL),"Ralph Lauren designs, markets, and distributes apparel, accessories, and home furnishings through department stores and owned retail stores.",consumer goods
"RAYMOND JAMES FINANCIAL, INC. (RJF)","Raymond James Financial is a financial services company engaged in the underwriting, distribution, trading and brokerage of equity and debt securities and the sale of mutual funds and other investment products.","financial company,financial services"
TRANSOCEAN LTD. (RIG),"Transocean provides offshore contract drilling services for oil and gas wells. The company operates a fleet of midwater, deepwater, ultra-deepwater, and harsh environment floaters, jackups, and drillships.","engineering and construction,energy"
"RED HAT, INC. (RHT)","Red Hat provides open source software consulting and support services, typically under annual or multi-year subscriptions.","IT services,software"
ROBERT HALF INTERNATIONAL INC. (RHI),"Robert Half International provides specialized staffing, such as temporary, full-time, and project professionals in the fields of accounting and finance.",business services
